,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,NoDisponible,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
22,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4d0395f1758847b025716d76c60e8d03,4d0395f1758847b025716d76c60e8d03,No,NoDisponible,,,,,,,
91,Ursus americanus,161179,-100.9234999,25.3254658,,False,4,35.46,Mammalia,Carnivora,Ursidae,2357,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4d79514a25cffc3e5cc7c3101f79e2ed,4d79514a25cffc3e5cc7c3101f79e2ed,No,NoDisponible,,,,,,,
150,Ursus americanus,166011,-100.0769444,24.8238889,,False,4,36.71,Mammalia,Carnivora,Ursidae,1643,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4f06173f3dbfacada5b2f08003ee5ec5,4f06173f3dbfacada5b2f08003ee5ec5,No,NoDisponible,,,,,,,
148,Ursus americanus,161201,-100.8875,25.3138889,,False,4,34.01,Mammalia,Carnivora,Ursidae,2268,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=52aa116a427be8009d0554c5eab3c8e9,52aa116a427be8009d0554c5eab3c8e9,No,NoDisponible,,,,,,,
23,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=54218b13b12746d687c10c597a7a9dbd,54218b13b12746d687c10c597a7a9dbd,No,NoDisponible,,,,,,,
145,Ursus americanus,123420,-105.5166667,26.45,,False,3,5.19,Mammalia,Carnivora,Ursidae,1742,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=54464fbdbd2f94d1b092150315843c75,54464fbdbd2f94d1b092150315843c75,No,NoDisponible,,,,,,,
130,Ursus americanus,147253,-102.6048372,29.0519677,,False,4,43.67,Mammalia,Carnivora,Ursidae,2252,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5677a4877b1e76ff5d900cb914b55cfa,5677a4877b1e76ff5d900cb914b55cfa,No,NoDisponible,,,,,,,
133,Ursus americanus,170819,-99.91573,24.5309158,,False,4,49.08,Mammalia,Carnivora,Ursidae,1711,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5689623f94474a0e9abb0fde21645d76,5689623f94474a0e9abb0fde21645d76,No,NoDisponible,,,,,,,
166,Ursus americanus,152047,-101.8252778,28.7936111,,False,3,10.61,Mammalia,Carnivora,Ursidae,953,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=575770fb7a406d6dcc1ec494d70cd721,575770fb7a406d6dcc1ec494d70cd721,No,NoDisponible,,,,,,,
24,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=576793bf05cbb7d264623452afe22138,576793bf05cbb7d264623452afe22138,No,NoDisponible,,,,,,,
25,Ursus americanus,170712,-99.9125,23.9558333,,False,4,28,Mammalia,Carnivora,Ursidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=57f6b0e5e0bf714b425be1f685cae236,57f6b0e5e0bf714b425be1f685cae236,No,NoDisponible,,,,,,,
141,Ursus americanus,175500,-99.2291667,23.0452778,,True,2,-54.87,Mammalia,Carnivora,Ursidae,1326,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=58703e211a92616b1f23b00e0e37772a,58703e211a92616b1f23b00e0e37772a,Si,NoDisponible,No,No,Si,,,,
