,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente
128,Eptesicus furinalis,150984,-102.1986111,20.4708333,,True,1,-12.65,Mammalia,Chiroptera,Vespertilionidae,1792,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8b1d63e28a4fa10c16f732f49c092719,8b1d63e28a4fa10c16f732f49c092719,Si,NoDisponible,No,No,Si,,
101,Eptesicus furinalis,252550,-89.6391667,21.0288889,,False,3,14.82,Mammalia,Chiroptera,Vespertilionidae,16,Terrestre,1997,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8e9c6de235cf9e01615922e7bc3f975e,8e9c6de235cf9e01615922e7bc3f975e,No,NoDisponible,,,,,
93,Eptesicus furinalis,252549,-89.6519444,20.9483333,,False,3,14.73,Mammalia,Chiroptera,Vespertilionidae,15,Terrestre,1997,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=919c7fe6e20d7d19cf35dced82902cdd,919c7fe6e20d7d19cf35dced82902cdd,No,NoDisponible,,,,,
94,Eptesicus furinalis,252549,-89.6519444,20.9483333,,False,3,14.73,Mammalia,Chiroptera,Vespertilionidae,15,Terrestre,1997,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9221f2c2b56e273dde77df02b125337e,9221f2c2b56e273dde77df02b125337e,No,NoDisponible,,,,,
69,Eptesicus furinalis,230748,-92.316667,15.7,,False,3,12,Mammalia,Chiroptera,Vespertilionidae,638,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=92b6b4047ba176a5a7b3cd9f30bc297f,92b6b4047ba176a5a7b3cd9f30bc297f,No,NoDisponible,,,,,
29,Eptesicus furinalis,230976,-92.0322222,17.4925,,False,3,21.83,Mammalia,Chiroptera,Vespertilionidae,77,Terrestre,2004,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=975015f361936c7d7c6f89021d333d95,975015f361936c7d7c6f89021d333d95,No,NoDisponible,,,,,
145,Eptesicus furinalis,226496,-92.5991667,15.3280556,,False,3,20.9,Mammalia,Chiroptera,Vespertilionidae,214,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9b0fc2c9c7c0701c9d3968e7f99e3a54,9b0fc2c9c7c0701c9d3968e7f99e3a54,No,NoDisponible,,,,,
80,Eptesicus furinalis,222406,-93.6833333,16.1333333,,False,3,26.93,Mammalia,Chiroptera,Vespertilionidae,249,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9bc95dc1de07e800a54f003856efbd57,9bc95dc1de07e800a54f003856efbd57,No,NoDisponible,,,,,
30,Eptesicus furinalis,230976,-92.0322222,17.4925,,False,3,21.83,Mammalia,Chiroptera,Vespertilionidae,77,Terrestre,2004,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9cf19384e182739dd01bd475babb7d8d,9cf19384e182739dd01bd475babb7d8d,No,NoDisponible,,,,,
141,Eptesicus furinalis,194858,-96.73,18.7277778,,False,3,18.59,Mammalia,Chiroptera,Vespertilionidae,337,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9eb7537337007cc808ae7fe6574550a5,9eb7537337007cc808ae7fe6574550a5,No,NoDisponible,,,,,
86,Eptesicus furinalis,248304,-89.6913889,21.0672222,,False,3,11.88,Mammalia,Chiroptera,Vespertilionidae,13,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9ee02724c2650cd8d9bdad4cc2c55523,9ee02724c2650cd8d9bdad4cc2c55523,No,NoDisponible,,,,,
79,Eptesicus furinalis,199769,-96.381944,19.4675,,False,2,5.52,Mammalia,Chiroptera,Vespertilionidae,30,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a023e38db63e7080b2d0909f2bbe7401,a023e38db63e7080b2d0909f2bbe7401,No,NoDisponible,,,,,
2,Eptesicus furinalis,208974,-95.225,17.8083333,,False,3,17.48,Mammalia,Chiroptera,Vespertilionidae,50,Terrestre,1901,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a60fba3ba952d29cbc35170e485e1097,a60fba3ba952d29cbc35170e485e1097,No,NoDisponible,,,,,
133,Eptesicus furinalis,194516,-97.0822222,16.2938889,,False,3,8.28,Mammalia,Chiroptera,Vespertilionidae,998,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a619f550e498e59e1f3a5ebcbc69ce53,a619f550e498e59e1f3a5ebcbc69ce53,No,NoDisponible,,,,,
49,Eptesicus furinalis,235321,-91.5,18.4166667,,False,3,14.28,Mammalia,Chiroptera,Vespertilionidae,9,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a61aaffd5a59573d75f651c66a996503,a61aaffd5a59573d75f651c66a996503,No,NoDisponible,,,,,
78,Eptesicus furinalis,199773,-96.380278,19.5897222,,False,3,10.16,Mammalia,Chiroptera,Vespertilionidae,12,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a75f366be653c11d6d402ee3a5828908,a75f366be653c11d6d402ee3a5828908,No,NoDisponible,,,,,
122,Eptesicus furinalis,209020,-94.91401,17.9487,,False,3,17.61,Mammalia,Chiroptera,Vespertilionidae,97,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a9181ee613f0e0d25eba109bc9bdda28,a9181ee613f0e0d25eba109bc9bdda28,No,NoDisponible,,,,,
