,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente
68,Eira barbara,261245,-88.0663889,20.7188889,,False,4,15.01,Mammalia,Carnivora,Mustelidae,24,Terrestre,1910,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=afc0a27f11309220ee5eed7793f2c545,afc0a27f11309220ee5eed7793f2c545,No,NoDisponible,,,,,
78,Eira barbara,230722,-92.5191667,15.4455556,,False,3,-10.84,Mammalia,Carnivora,Mustelidae,1110,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b5a059da84a6b4f728fe874cd6b06331,b5a059da84a6b4f728fe874cd6b06331,No,NoDisponible,,,,,
74,Eira barbara,218039,-93.9258333,16.3625,,False,4,3.86,Mammalia,Carnivora,Mustelidae,1572,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b5cda9589e2030804d7316de945a53cf,b5cda9589e2030804d7316de945a53cf,No,NoDisponible,,,,,
15,Eira barbara,243463,-90.7277777,16.5972222,,False,4,22.92,Mammalia,Carnivora,Mustelidae,155,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b6a80dc280af69bfe5032ef01e809258,b6a80dc280af69bfe5032ef01e809258,No,NoDisponible,,,,,
67,Eira barbara,252321,-89.4,18.6666667,,False,4,11.18,Mammalia,Carnivora,Mustelidae,280,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b714fe9d2fd59f0243db6e454698a252,b714fe9d2fd59f0243db6e454698a252,No,NoDisponible,,,,,
14,Eira barbara,269597,-87.1981199,21.2299999,,False,4,17.77,Mammalia,Carnivora,Mustelidae,6,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b86109f655a4d4f0bbdf8f8fda872425,b86109f655a4d4f0bbdf8f8fda872425,No,NoDisponible,,,,,
39,Eira barbara,239214,-90.9467191,16.1317069,,False,4,26.08,Mammalia,Carnivora,Mustelidae,216,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b873f493c34688839670a7aaef660600,b873f493c34688839670a7aaef660600,No,NoDisponible,,,,,
0,Eira barbara,175309,-99.2977333,21.4993831,,False,3,-14.39,Mammalia,Carnivora,Mustelidae,1147,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b8ec7c1efa50bfec24bd672c88209c1a,b8ec7c1efa50bfec24bd672c88209c1a,No,NoDisponible,,,,,
44,Eira barbara,252183,-89.6143277,18.0065011,,False,4,13.91,Mammalia,Carnivora,Mustelidae,306,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bef5c0d95fceda40cfa9e9eaaed9b03f,bef5c0d95fceda40cfa9e9eaaed9b03f,No,NoDisponible,,,,,
8,Eira barbara,226761,-92.9528,17.5481,,False,4,23.2,Mammalia,Carnivora,Mustelidae,47,Terrestre,1900,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c59cc8d5f0f6c084cf66e240ab79df7e,c59cc8d5f0f6c084cf66e240ab79df7e,No,NoDisponible,,,,,
20,Eira barbara,265346,-87.9597222,19.2824999,,False,4,21.1,Mammalia,Carnivora,Mustelidae,25,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c653b5a29cfa74acadf545ce20d5c488,c653b5a29cfa74acadf545ce20d5c488,No,NoDisponible,,,,,
51,Eira barbara,194822,-97.1036,18.8497,,True,2,-29.8,Mammalia,Carnivora,Mustelidae,1255,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c88702a7191e321c3b8aef5e734e522f,c88702a7191e321c3b8aef5e734e522f,No,NoDisponible,,,,,
53,Eira barbara,194836,-97.0259944,19.0078333,,False,3,-7.06,Mammalia,Carnivora,Mustelidae,1320,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c8fa430e4d8381fd3ad0999ac6f8500b,c8fa430e4d8381fd3ad0999ac6f8500b,No,NoDisponible,,,,,
24,Eira barbara,265458,-87.6136111,20.0783333,,False,4,21.84,Mammalia,Carnivora,Mustelidae,31,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c9711a3653a962b7d3ee8e32f96e5c64,c9711a3653a962b7d3ee8e32f96e5c64,No,NoDisponible,,,,,
1,Eira barbara,199553,-96.5583333,17.575,,True,2,-37.83,Mammalia,Carnivora,Mustelidae,1802,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ce45c99b91badb7b9ceb3d32f34bf7e8,ce45c99b91badb7b9ceb3d32f34bf7e8,No,NoDisponible,,,,,
10,Eira barbara,175525,-99.139277,23.09491,,False,4,5.12,Mammalia,Carnivora,Mustelidae,126,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cf0ce0e7b98956db8c41b74e7941ed39,cf0ce0e7b98956db8c41b74e7941ed39,No,NoDisponible,,,,,
49,Eira barbara,208951,-95.0249,17.43202,,False,4,20.37,Mammalia,Carnivora,Mustelidae,23,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cfdf2aaae149b3421d3f8328712d868c,cfdf2aaae149b3421d3f8328712d868c,No,NoDisponible,,,,,
35,Eira barbara,261048,-88.1145341,19.1383702,,False,4,23.09,Mammalia,Carnivora,Mustelidae,15,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d282172fcebde11baa9e96d9548faf5f,d282172fcebde11baa9e96d9548faf5f,No,NoDisponible,,,,,
9,Eira barbara,226761,-92.9528,17.5481,,False,4,23.2,Mammalia,Carnivora,Mustelidae,47,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dbd3684e735326818e536fad28639be3,dbd3684e735326818e536fad28639be3,No,NoDisponible,,,,,
45,Eira barbara,199359,-96.0610319,15.7679802,,False,4,9.44,Mammalia,Carnivora,Mustelidae,,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dd737dee6acab457e3f924910293db97,dd737dee6acab457e3f924910293db97,No,NoDisponible,,,,,
65,Eira barbara,265549,-87.7855556,20.9913889,,False,4,19.94,Mammalia,Carnivora,Mustelidae,18,Terrestre,1880,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=de58a417f20b57871ecbe74924b6cd6f,de58a417f20b57871ecbe74924b6cd6f,No,NoDisponible,,,,,
72,Eira barbara,261288,-88.1763889,21.0194444,,False,4,17.47,Mammalia,Carnivora,Mustelidae,18,Terrestre,1880,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e11ca0b77047d707972b8a60bcb61903,e11ca0b77047d707972b8a60bcb61903,No,NoDisponible,,,,,
36,Eira barbara,226528,-92.8902249,15.8894891,,False,3,-3.3,Mammalia,Carnivora,Mustelidae,1421,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e157a5c7c66f360e645aaac9e6fe9345,e157a5c7c66f360e645aaac9e6fe9345,No,NoDisponible,,,,,
33,Eira barbara,252256,-89.4468333,18.5852891,,False,4,10.77,Mammalia,Carnivora,Mustelidae,275,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e4654a411b3892c9a448abd1d62173f4,e4654a411b3892c9a448abd1d62173f4,No,NoDisponible,,,,,
13,Eira barbara,247977,-89.7858808,18.1294602,,False,4,13.75,Mammalia,Carnivora,Mustelidae,254,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e5ef3bcbff0565cee4df44857d646ce1,e5ef3bcbff0565cee4df44857d646ce1,No,NoDisponible,,,,,
64,Eira barbara,170666,-99.5466667,23.0333333,,True,0,-129.32,Mammalia,Carnivora,Mustelidae,1104,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e6e30aa2badf3bccfd4656eb14960e9f,e6e30aa2badf3bccfd4656eb14960e9f,No,NoDisponible,,,,,
41,Eira barbara,226694,-93.1137791,17.2477447,,False,4,4.97,Mammalia,Carnivora,Mustelidae,1342,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ea0e66040724ff201e6e6895f6707aea,ea0e66040724ff201e6e6895f6707aea,No,NoDisponible,,,,,
38,Eira barbara,256634,-88.6251333,18.4650308,,False,4,18.99,Mammalia,Carnivora,Mustelidae,25,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ecbe794914c56c2da4449c566922e953,ecbe794914c56c2da4449c566922e953,No,NoDisponible,,,,,
59,Eira barbara,122965,-105.7766667,22.8352778,,False,4,4.4,Mammalia,Carnivora,Mustelidae,36,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ed8c8ef3ee9dbf623608dc91f6d8562c,ed8c8ef3ee9dbf623608dc91f6d8562c,No,NoDisponible,,,,,
80,Eira barbara,226522,-92.9333333,15.7333333,,False,3,-12.64,Mammalia,Carnivora,Mustelidae,2284,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f5c9f91210c98c49f84f8a132e579528,f5c9f91210c98c49f84f8a132e579528,No,NoDisponible,,,,,
40,Eira barbara,261024,-88.3181986,19.1168188,,False,4,22.99,Mammalia,Carnivora,Mustelidae,29,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f7c3b3e249abfc2ff2f2de2cdb427167,f7c3b3e249abfc2ff2f2de2cdb427167,No,NoDisponible,,,,,
28,Eira barbara,199557,-96.5770399,17.7232588,,False,3,-14.8,Mammalia,Carnivora,Mustelidae,1524,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f96c9d34149ea7be6f95fca12ed29e87,f96c9d34149ea7be6f95fca12ed29e87,No,NoDisponible,,,,,
77,Eira barbara,218044,-93.7833333,16.2761111,,False,4,3.72,Mammalia,Carnivora,Mustelidae,479,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fd93c72bde17bfea6083852f7fe6be31,fd93c72bde17bfea6083852f7fe6be31,No,NoDisponible,,,,,
