,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar
40,Aquiloeurycea galeanae,170818,-99.995,24.5919444,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2079.0,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e3e06f001ed7ed2a9dfc2b2513d2abee,e3e06f001ed7ed2a9dfc2b2513d2abee
41,Aquiloeurycea galeanae,170818,-99.995,24.5919444,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2079.0,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ed99ffe8425b968c8c931cf634e9fb5c,ed99ffe8425b968c8c931cf634e9fb5c
42,Aquiloeurycea galeanae,170818,-99.995,24.5919444,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2079.0,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f267c2531aab951eb4c80309f31f3be7,f267c2531aab951eb4c80309f31f3be7
43,Aquiloeurycea galeanae,170818,-99.9901436,24.59,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2175.0,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19119501da83cf57f9a52449735a2bfa,19119501da83cf57f9a52449735a2bfa
44,Aquiloeurycea galeanae,170818,-99.9901436,24.59,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2175.0,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d59d48006c476f8e57dd64c746442739,d59d48006c476f8e57dd64c746442739
45,Aquiloeurycea galeanae,170818,-99.9951437,24.5919444,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2078.0,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b0df8bce3abc04ff129c8200c33626ef,b0df8bce3abc04ff129c8200c33626ef
46,Aquiloeurycea galeanae,170818,-99.9951437,24.5919444,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2078.0,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8890685b4376aed4166a0fcfcce1a2d4,8890685b4376aed4166a0fcfcce1a2d4
47,Aquiloeurycea galeanae,170818,-99.99725,24.5931111,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2084.0,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=de7d9b17248a3233f91afb28d620a775,de7d9b17248a3233f91afb28d620a775
48,Aquiloeurycea galeanae,170818,-99.9951437,24.5919444,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2078.0,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d56e489db31e13ed90e6da7bd13ff139,d56e489db31e13ed90e6da7bd13ff139
49,Aquiloeurycea galeanae,170818,-99.9767777,24.5902219,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2153.0,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=131d57f8c8079865ea40b6d9ef005c9a,131d57f8c8079865ea40b6d9ef005c9a
50,Aquiloeurycea galeanae,170818,-99.9767777,24.5902219,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2153.0,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f9ba43d40728be3a9709342fc6788865,f9ba43d40728be3a9709342fc6788865
51,Aquiloeurycea galeanae,170818,-99.99499990000001,24.591944100000003,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2079.0,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=528d77210ef807c28864ce260a6e89a5,528d77210ef807c28864ce260a6e89a5
52,Aquiloeurycea galeanae,170818,-99.99499990000001,24.591944100000003,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2079.0,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5563147bcc5ebdb8ea5e009fd91fb7ac,5563147bcc5ebdb8ea5e009fd91fb7ac
53,Aquiloeurycea galeanae,170818,-99.99499990000001,24.591944100000003,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2079.0,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c1241f6bbaff248d6e198cf856aac23f,c1241f6bbaff248d6e198cf856aac23f
54,Aquiloeurycea galeanae,170818,-99.99499990000001,24.591944100000003,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2079.0,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c2fa1c04da2a9d98213c7acbb68a1816,c2fa1c04da2a9d98213c7acbb68a1816
55,Aquiloeurycea galeanae,170818,-99.99499990000001,24.591944100000003,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2079.0,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c82d36fbe0a02dc3b75a9cfeeffeb18f,c82d36fbe0a02dc3b75a9cfeeffeb18f
56,Aquiloeurycea galeanae,170818,-99.99499990000001,24.591944100000003,,False,4,42.24,Amphibia,Caudata,Plethodontidae,2079.0,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fa117524371d09452c6b08e666c967b6,fa117524371d09452c6b08e666c967b6
57,Aquiloeurycea galeanae,170817,-99.9802778,24.5169444,,False,4,52.98,Amphibia,Caudata,Plethodontidae,2512.0,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=68d594e5ac45e70ef85b3f8e45ca8198,68d594e5ac45e70ef85b3f8e45ca8198
58,Aquiloeurycea galeanae,170817,-99.98281999999999,24.51836,,False,4,52.98,Amphibia,Caudata,Plethodontidae,2482.0,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5af54c7aa39811667a92aebf04f163cb,5af54c7aa39811667a92aebf04f163cb
59,Aquiloeurycea galeanae,170817,-100.00896800000001,24.573083,,False,4,52.98,Amphibia,Caudata,Plethodontidae,2117.0,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ed7b6dc275a7cf5d701ae8f993f8c5a,0ed7b6dc275a7cf5d701ae8f993f8c5a
60,Aquiloeurycea galeanae,170817,-100.00896800000001,24.573083,,False,4,52.98,Amphibia,Caudata,Plethodontidae,2117.0,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=31841f11e795625d9856523fd1cfef5e,31841f11e795625d9856523fd1cfef5e
61,Aquiloeurycea galeanae,170817,-99.98281999999999,24.51835,,False,4,52.98,Amphibia,Caudata,Plethodontidae,2482.0,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a60da6b062d2ef11eee065c0e3fa22c4,a60da6b062d2ef11eee065c0e3fa22c4
62,Aquiloeurycea galeanae,170817,-99.982417,24.51925,,False,4,52.98,Amphibia,Caudata,Plethodontidae,2474.0,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=049d69c5a05f1e9a57fa2672b410efe1,049d69c5a05f1e9a57fa2672b410efe1
63,Aquiloeurycea galeanae,170817,-99.982417,24.51925,,False,4,52.98,Amphibia,Caudata,Plethodontidae,2474.0,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=28f76820f1255977603c2dca8ea7ef7a,28f76820f1255977603c2dca8ea7ef7a
64,Aquiloeurycea galeanae,170817,-99.982417,24.51925,,False,4,52.98,Amphibia,Caudata,Plethodontidae,2474.0,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e87d38f48d0e1073fd2ddbcf2559768,2e87d38f48d0e1073fd2ddbcf2559768
65,Aquiloeurycea galeanae,170817,-99.982417,24.51925,,False,4,52.98,Amphibia,Caudata,Plethodontidae,2474.0,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=53afb5d804bc954fc038e92ea0bf8b1c,53afb5d804bc954fc038e92ea0bf8b1c
66,Aquiloeurycea galeanae,170817,-99.982417,24.51925,,False,4,52.98,Amphibia,Caudata,Plethodontidae,2474.0,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6acf2068b212eb1908bb8de53f56071d,6acf2068b212eb1908bb8de53f56071d
67,Aquiloeurycea galeanae,170817,-99.982417,24.51925,,False,4,52.98,Amphibia,Caudata,Plethodontidae,2474.0,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=79316893300ee20937cf992c92bc122d,79316893300ee20937cf992c92bc122d
68,Aquiloeurycea galeanae,170817,-99.982417,24.51925,,False,4,52.98,Amphibia,Caudata,Plethodontidae,2474.0,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=892d8e01665c8a6c9f9b705419507b8a,892d8e01665c8a6c9f9b705419507b8a
